City,OVERALL SCORE,PERCENTILE RANKING,Housing,Safety,Mobility,Health,Entertainment,Diversity,Education,Employment
Cambridge,7.31,10,6.5,0.4,9.3,8.1,9.5,9.4,8,6.1
Wellesley,7.3,9.93,8.8,8.7,3.5,6.7,6.6,6.9,9,6.6
Brookline,7.16,9.86,5.1,5.9,7.8,8.2,8,8.6,8.5,6.1
Newton,6.99,9.79,6.9,7,5.2,7.2,6.7,8.2,8.3,6.3
Somerville,6.94,9.71,7.3,3.6,9,6.6,9,9.5,4.9,6.2
Needham,6.9,9.64,9.1,7.2,3.7,8,4.9,6,8,6.7
Lexington,6.84,9.57,7,9.3,3.9,7.7,5,7,8.7,6.2
Medfield,6.69,9.5,9.1,8.6,6.5,4.9,4,4,7.8,6.6
Weston,6.62,9.43,7.8,7.8,4.3,8.5,1.6,7,9,6.3
Arlington,6.53,9.36,5.2,7.5,6.5,8.4,6.5,7,7.1,5.4
Bedford,6.5,9.29,5.8,8.1,7.5,5.1,4.2,7,7.8,6.9
Dover,6.49,9.21,6.7,9.7,3.7,8.7,0.9,4.7,9.4,7.5
Belmont,6.48,9.14,7.3,6.8,6.1,7.8,4.5,7.6,6.3,6.1
Wayland,6.47,9.07,7.4,9.8,4.8,6.5,2.8,5.7,8.7,5.7
Andover,6.45,9,6,6.8,7.1,6.2,5.8,7.1,7.2,5.8
Concord,6.44,8.93,6.2,6.5,6.3,5.4,5.4,6.4,8.6,5.8
Sudbury,6.38,8.86,8.2,7.6,3.5,6.2,4.4,5.1,7.8,6.5
Winchester,6.37,8.79,8.6,4,4.2,8,3.6,6.1,8.2,5.8
Acton,6.34,8.71,7.3,6.5,3.5,4.4,5.9,7.5,8.5,5.8
Wenham,6.3,8.64,8.9,9.8,5.1,7.7,0.7,4.2,8.1,5
Sharon,6.28,8.57,6.6,8.9,5.5,6.9,2.8,7.8,8,4.7
Southborough,6.27,8.5,8.2,9.7,3.2,7.5,2.3,6,7.7,5.4
Watertown,6.26,8.43,4.6,2.2,7.7,8.2,8,8.8,5.6,6
Sherborn,6.26,8.36,7.2,6.7,3.8,7.9,1.4,4.8,9.1,7.3
Hingham,6.25,8.29,7.3,5.4,5.5,6.2,6.7,2.1,8.3,5.4
Carlisle,6.24,8.21,8.8,9.4,3.5,7.1,0.5,4.2,8.9,5.9
North Andover,6.2,8.14,6.4,7.2,6.1,5.9,7.1,7,5.4,5.3
Natick,6.18,8.07,6.8,2.2,5,6.6,8.3,7.1,7.2,4.6
Milton,6.17,8,6.6,8.1,4.3,8.2,3,7.7,6.5,6.3
Westwood,6.17,7.93,6.4,5.9,4.4,8.6,4.4,5.3,7.7,5.9
Hopkinton,6.14,7.86,8.8,7.2,5,4.3,2.8,6,7.7,5.5
Franklin,6.11,7.79,7,7.6,6.8,4.3,6.2,4.8,5.8,6.1
